Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,200,0.009706,0.006469,0.009973,26375780276.715096,25669675193.885994,1266365595308.526611
32000000,16,864,201,0.010095,0.006554,0.009974,25359236867.440948,25667484956.215015,1249924473973.642334
32000000,16,864,202,0.009706,0.006496,0.009973,26375644391.145641,25668926208.899426,1261019683574.859375
32000000,16,864,203,0.009715,0.006563,0.010279,26350100406.145535,24904128833.919174,1248187979305.462891
32000000,16,864,204,0.009705,0.006439,0.009746,26378560578.416100,26266475029.309731,1272149051488.288086
32000000,16,864,205,0.010081,0.006551,0.009746,25393996282.892059,26266798433.485729,1250551657787.349121
32000000,16,864,206,0.009682,0.006495,0.009746,26441050147.559814,26266501981.804684,1261291887640.643311
32000000,16,864,207,0.009701,0.006523,0.009750,26388477145.130569,26257188546.300404,1255911422783.856445
32000000,16,864,208,0.009712,0.006417,0.009745,26360408151.070007,26268933130.214153,1276598662084.720703
32000000,16,864,209,0.009711,0.006510,0.009746,26361086748.907185,26267717499.757072,1258414842382.546143
32000000,16,864,210,0.010118,0.006509,0.010956,25300622785.301949,23366339199.447735,1258654981547.862793
32000000,16,864,211,0.009708,0.006571,0.011134,26370528381.632900,22992393564.093510,1246663440738.956787
32000000,16,864,212,0.009707,0.006404,0.009825,26373359192.498348,26056934398.563671,1279101231808.015869
32000000,16,864,213,0.009892,0.006509,0.009831,25878750367.675587,26040813686.956367,1258614178036.940674
32000000,16,864,214,0.010123,0.006459,0.009825,25289278227.343040,26056536580.887440,1268212362846.386963
32000000,16,864,215,0.009716,0.006489,0.009749,26348768765.088333,26259644909.313129,1262402114373.161133
32000000,16,864,216,0.009709,0.006393,0.009745,26366038897.548805,26269501897.983730,1281326573731.694824
32000000,16,864,217,0.009702,0.006470,0.009746,26385180757.090271,26267582735.167892,1266073390679.461426
32000000,16,864,218,0.009713,0.006454,0.009826,26355319746.160370,26053370334.764366,1269370018414.716064
32000000,16,864,219,0.009720,0.006481,0.009837,26336194067.792805,26024763170.748226,1263945912354.742188
32000000,16,864,220,0.010760,0.006417,0.009825,23792641921.130241,26055019647.640079,1276598662084.720703
32000000,16,864,221,0.009667,0.006518,0.011137,26482544026.358898,22987097948.466030,1256861378458.230469
32000000,16,864,222,0.009718,0.006466,0.011337,26341546134.503586,22580284380.889042,1266901427353.079834
32000000,16,864,223,0.009710,0.006456,0.009746,26364295658.005054,26267879221.050510,1268942553862.030518
32000000,16,864,224,0.009708,0.006278,0.010144,26369602116.907444,25237792252.134735,1304927375222.464111
32000000,16,864,225,0.010113,0.006482,0.010768,25314888541.720371,23773712885.955795,1263830668438.040527
32000000,16,864,226,0.009724,0.006495,0.011133,26327564888.233238,22993758634.144299,1261346460125.195068
32000000,16,864,227,0.009720,0.006544,0.011137,26338258759.209164,22986373484.813919,1251886349565.515137
32000000,16,864,228,0.009676,0.006444,0.011139,26456491879.321190,22982859094.011520,1271239176058.599609
32000000,16,864,229,0.009711,0.006558,0.011141,26362853998.658497,22978454736.716347,1249082476475.791992
32000000,16,864,230,0.009725,0.006487,0.012323,26324473189.881245,20774900542.673615,1262751212913.912109
32000000,16,864,231,0.009734,0.006514,0.011135,26299784670.123184,22991191765.862324,1257628942489.596680
32000000,16,864,232,0.009710,0.006407,0.011137,26363508286.622444,22985525227.837143,1278673177237.747559
